"STOP_LOCATION_BLOCK","match_status","match_type","GEOID"
"4400 BLOCK OF WISCONSIN AVENUE NW WASHINGTON, DC 20016 UNITED STATES","Match","Non_Exact","11001003802"
"1800 BLOCK OF 28TH STREET SE WASHINGTON, DC 20020 UNITED STATES","No_Match","",NA
"2300 BLOCK OF 38TH STREET NW WASHINGTON, DC 20007 UNITED STATES","Match","Non_Exact","11001010400"
"1000 BLOCK OF 16TH STREET NE WASHINGTON, DC 20002 UNITED STATES","Match","Non_Exact","11001004300"
"1300 BLOCK OF CONGRESS STREET SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001009102"
"5600 BLOCK OF BLAINE STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001008904"
"100 BLOCK OF SYCAMORE ROAD NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001009201"
"300 BLOCK OF 40TH STREET NE WASHINGTON, DC 20019 UNITED STATES","No_Match","",NA
"2700 BLOCK OF SHIPLEY TERRACE SE WASHINGTON, DC 20020 UNITED STATES","No_Match","",NA
"1800 BLOCK OF T STREET SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001007401"
"2300 BLOCK OF 15TH STREET NE WASHINGTON, DC 20018 UNITED STATES","Match","Non_Exact","11001009807"
"100 BLOCK OF POTOMAC AVENUE SW WASHINGTON, DC 20024 UNITED STATES","Match","Non_Exact","11001002503"
"2500 BLOCK OF NAYLOR ROAD SE WASHINGTON, DC 20020 UNITED STATES","Match","Non_Exact","11001001004"
"100 BLOCK OF ATLANTIC STREET SE WASHINGTON, DC 20032 UNITED STATES","Match","Non_Exact","11001007604"
"700 BLOCK OF 49TH STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001000300"
"300 BLOCK OF DIVISION AVENUE NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001008802"
"3700 BLOCK OF HAYES STREET NE WASHINGTON, DC 20019 UNITED STATES","Match","Non_Exact","11001007304"
"SOUTH CAPITOL STREET SW & M STREET SW WASHINGTON, DC 20024 UNITED STATES","Match","Non_Exact","11001007808"
"1ST STREET SW & N STREET SW WASHINGTON, DC 20024 UNITED STATES","Match","Non_Exact","11001007804"
